Category,Name,Price,Rating,Reviews,URL,Price_Clean,Rating_Clean,Reviews_Clean,Price_per_Review,High_Rating_Flag,Price_Category,Stock Availabilty
Chargers,BlitzWolf® 868H 160W 5-Port USB PD Desktop Charger Dual USB-A QC3.0+Dual PD65W Type-C+65W Type-C PD3.0 with 15W 10W 7.5W 5W Wireless Fast Charger for iPhone 14 14 Pro Max for Samsung Galaxy Z Fold 4 S22 Ultra,US$35.99,4,162 reviews,https://www.banggood.com/BlitzWolf-868H-160W-5-Port-USB-PD-Desktop-Charger-Dual-USB-A-QC3_0+Dual-PD65W-Type-C+65W-Type-C-PD3_0-with-15W-10W-7_5W-5W-Wireless-Fast-Charger-for-iPhone-14-14-Pro-Max-for-Samsung-Galaxy-Z-Fold-4-S22-Ultra-p-1996851.html?cur_warehouse=CN&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,35.99,,162,0.220797546,0,Moderate,0
Chargers,[GaN Tech] Blitzwolf® BW-S26 250W 8-Port USB PD Charger 3USB-A+5USB-C PD3.0 QC3.0 AFC FCP PPS APPLE Fast Charging Desktop Charging Station EU Plug for iPhone 15 14 13 for Samsung Galaxy Z Flip4 for MacBook Pro for Airpods for Apple Watch,US$26.99,4.5,107 reviews,https://www.banggood.com/GaN-Tech-Blitzwolf-BW-S26-250W-8-Port-USB-PD-Charger-3USB-A+5USB-C-PD3_0-QC3_0-AFC-FCP-PPS-APPLE-Fast-Charging-Desktop-Charging-Station-EU-Plug-for-iPhone-15-14-13-for-Samsung-Galaxy-Z-Flip4-for-MacBook-Pro-for-Airpods-for-Apple-Watch-p-2015740.html?cur_warehouse=CN&ID=62878306316013&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,26.99,,107,0.249907407,0,Moderate,57
Chargers,BlitzWolf® BW-S27 160W 6-Port USB PD Desktop Fast Charger 2USB-A+4USB-C PD3.0 QC4.0 AFC FCP SCP PPS PE with 15W 10W 7.5W 5W Wireless Charger Desktop Charging Station EU Plug for iPhone 15 14 13 for MacBook Pro for Airpods for Apple Watch,US$26.49,3,70 reviews,https://www.banggood.com/BlitzWolf-BW-S27-160W-6-Port-USB-PD-Desktop-Fast-Charger-2USB-A+4USB-C-PD3_0-QC4_0-AFC-FCP-SCP-PPS-PE-with-15W-10W-7_5W-5W-Wireless-Charger-Desktop-Charging-Station-EU-Plug-for-iPhone-15-14-13-for-MacBook-Pro-for-Airpods-for-Apple-Watch-p-2019380.html?cur_warehouse=CN&ID=62878306316013&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,26.49,,70,0.373098592,0,Moderate,76
Chargers,BlitzWolf® BW-S15 60W 6-Ports USB Charger Dual QC3.0 Desktop Charging Station Smart Charger EU Plug Adapter,US$15.99,5,1464 reviews,https://www.banggood.com/BlitzWolf-BW-S15-60W-6-Ports-USB-Charger-Dual-QC3_0-Desktop-Charging-Station-Smart-Charger-EU-Plug-Adapter-p-1997155.html?cur_warehouse=CN&ID=533601&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,15.99,,1464,0.010914676,0,Cheap,53
Chargers,[GaN Tech] Blitzwolf® BW-S30 175W 6-Port USB PD Charger 4USB-C+2USB-A QC PD Digital Display Fast Charging Desktop Charging Station for iPhone 16 16 Pro 15 14 13 Pro Max for MacBook Pro for Airpods for Apple Watch,US$26.99,2.5,87 reviews,https://www.banggood.com/GaN-Tech-Blitzwolf-BW-S30-175W-6-Port-USB-PD-Charger-4USB-C+2USB-A-QC-PD-Digital-Display-Fast-Charging-Desktop-Charging-Station-for-iPhone-16-16-Pro-15-14-13-Pro-Max-for-MacBook-Pro-for-Airpods-for-Apple-Watch-p-2029228.html?cur_warehouse=CN&ID=431016287830&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,26.99,,87,0.306704545,0,Moderate,73
Chargers,BlitzWolf BW-EC2 8-in-1 Wall Cube Socket EU Plug Power Outlet Extender 4000W with Switch 4 AC Outlets / 2 USB-A / 2 USB-C for Home Bedroom Travel,US$15.99,4,69 reviews,https://www.banggood.com/BlitzWolf-BW-EC2-8-in-1-Wall-Cube-Socket-EU-Plug-Power-Outlet-Extender-4000W-with-Switch-4-AC-Outlets-or-2-USB-A-or-2-USB-C-for-Home-Bedroom-Travel-p-2023824.html?cur_warehouse=CN&ID=47184&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,15.99,,69,0.228428571,0,Cheap,5
Chargers,[GaN Tech] Blitzwolf® BW-i100 120W 5-Port USB PD Charger 2USB-A+3USB-C PD3.0 QC3.0 AFC FCP SCP PPS PE APPLE Fast Charging Desktop Charging Station EU Plug for iPhone 15 14 13 for Samsung Galaxy Z Flip4 for MacBook Pro for Airpods for Apple Watch,US$22.09,1,138 reviews,https://www.banggood.com/GaN-Tech-Blitzwolf-BW-i100-120W-5-Port-USB-PD-Charger-2USB-A+3USB-C-PD3_0-QC3_0-AFC-FCP-SCP-PPS-PE-APPLE-Fast-Charging-Desktop-Charging-Station-EU-Plug-for-iPhone-15-14-13-for-Samsung-Galaxy-Z-Flip4-for-MacBook-Pro-for-Airpods-for-Apple-Watch-p-2003461.html?cur_warehouse=CN&ID=62878306316013&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,22.09,,138,0.158920863,0,Moderate,67
Chargers,BlitzWolf BW-EC1 8-in-1 Vertical Cube EU Socket Plug Power Outlet Extender with 4 AC Outlets / 2 USB-A / 2 USB-C for MacBook iPad Game Office Home,US$18.99,3.5,85 reviews,https://www.banggood.com/BlitzWolf-BW-EC1-8-in-1-Vertical-Cube-EU-Socket-Plug-Power-Outlet-Extender-with-4-AC-Outlets-or-2-USB-A-or-2-USB-C-for-MacBook-iPad-Game-Office-Home-p-2020240.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,18.99,,85,0.220813953,0,Cheap,35
Chargers,BlitzWolf® BW-TA3 Universal Travel Adapter with 4 AC Outlet 2 USB-C 2 USB-A Ports International Travel Plug 220V to 110V Step-Down Power Voltage Converter for EU UK US AUS,US$20.99,5,5 reviews,https://www.banggood.com/BlitzWolf-BW-TA3-Universal-Travel-Adapter-with-4-AC-Outlet-2-USB-C-2-USB-A-Ports-International-Travel-Plug-220V-to-110V-Step-Down-Power-Voltage-Converter-for-EU-UK-US-AUS-p-2032282.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,20.99,,5,3.498333333,0,Moderate,9
Chargers,[GaN Tech]Bakeey YMX-500W 500W 8-Port USB PD Charger 2USB-A+6USB-C PD QC Fast Charging Desktop Charging Station EU Plug US Plug for iPhone 16 16 Pro 15 14 13 Pro Max for Huawei Mate XT for Xiaomi 15pro for Samsung Galaxy Z Flip6,US$28.99,4.5,8 reviews,https://www.banggood.com/GaN-TechBakeey-YMX-500W-500W-8-Port-USB-PD-Charger-2USB-A+6USB-C-PD-QC-Fast-Charging-Desktop-Charging-Station-EU-Plug-US-Plug-for-iPhone-16-16-Pro-15-14-13-Pro-Max-for-Huawei-Mate-XT-for-Xiaomi-15pro-for-Samsung-Galaxy-Z-Flip6-p-2025801.html?cur_warehouse=CN&ID=557641&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,28.99,,8,3.221111111,0,Moderate,22
Chargers,F002 65W 5-Port USB PD Charger 3USB-A+2USB-C Fast Charging Wall Charger Adapter EU Plug for iPhone 12 13 14 14 Pro for Samsung Galaxy S23 for Redmi K60 for Oppo Reno9,US$5.99,2,136 reviews,https://www.banggood.com/F002-65W-5-Port-USB-PD-Charger-3USB-A+2USB-C-Fast-Charging-Wall-Charger-Adapter-EU-Plug-for-iPhone-12-13-14-14-Pro-for-Samsung-Galaxy-S23-for-Redmi-K60-for-Oppo-Reno9-p-1993343.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,5.99,,136,0.043722628,0,Cheap,55
Chargers,BK329-4A4C 8-Port USB PD Charger 4USB-A+4USB-C PD QC4.0 3.0 2.0 FCP SCP Fast Charging Wall Charger Adapter EU Plug for iPhone 16 15 Pro 14 13 12 Pro Max for Huawei Mate XT for Xiaomi 15pro,US$8.73,4,7 reviews,https://www.banggood.com/BK329-4A4C-8-Port-USB-PD-Charger-4USB-A+4USB-C-PD-QC4_0-3_0-2_0-FCP-SCP-Fast-Charging-Wall-Charger-Adapter-EU-Plug-for-iPhone-16-15-Pro-14-13-12-Pro-Max-for-Huawei-Mate-XT-for-Xiaomi-15pro-p-2026213.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryPhonesPop&trace_id=6d9e1763847161268,8.73,,7,1.09125,0,Cheap,53
